transaction_id,customer_id,timestamp,amount,currency,category,merchant,description
TXN-000838,CUST-0017,2026-02-13 15:33,128.55,EUR,retail,IKEA Milano,IKEA Milano - Retail
TXN-001104,CUST-0114,12-Aug-2025,46.24,EUR,streaming,Amazon Prime Video,Amazon Prime Video - Streaming
TXN-002303,CUST-0167,2026-02-01 04:38,56.86,EUR,dining,Spontini,Spontini - Dining
TXN-002118,CUST-0008,11/09/2025,45.46,EUR,streaming,Sky Sport,Sky Sport - Streaming
TXN-001342,CUST-0156,2025-10-23 12:47,36.13,EUR,groceries,Esselunga,Esselunga - Groceries
TXN-001006,CUST-0043,2025-08-21 13:03,79.73,EUR,groceries,Coop,Coop - Groceries
TXN-000047,CUST-0062,2025-11-18 01:20,59.91,EUR,sports_merchandise,AC Milan Store,AC Milan Store - Sports Merchandise
TXN-000839,CUST-0168,2026-01-10T17:08:23Z,62.43,EUR,transport,Uber,Uber - Transport
TXN-000041,CUST-0019,2026-02-13T23:14:40Z,51.59,EUR,transport,Uber,Uber - Transport
TXN-000981,CUST-0079,20-Sep-2025,,eur,sports_bar,Bar Sport Milano,Bar Sport Milano - Sports Bar
TXN-001537,CUST-0143,03-Oct-2025,105.42,EUR,dining,Ristorante Cracco,Ristorante Cracco - Dining
TXN-000421,CUST-0074,2025-08-14T14:16:22Z,480.87,EUR,match_tickets,Viagogo,Viagogo - Match Tickets
TXN-002164,CUST-0111,26-Dec-2025,99.22,EUR,sports_merchandise,AC Milan Store,AC Milan Store - Sports Merchandise
TXN-002102,CUST-0055,2025-11-27 23:03,,EUR,entertainment,Teatro alla Scala,Teatro alla Scala - Entertainment
TXN-001333,CUST-0063,08/04/2025,57.96,EUR,sports_merchandise,Adidas Milan,Adidas Milan - Sports Merchandise
TXN-000937,CUST-0119,27-Oct-2025,60.0,EUR,sports_merchandise,Nike Football Store,Nike Football Store - Sports Merchandise
TXN-001005,CUST-0191,2025-11-11T18:14:18Z,101.76,eur,groceries,Coop,Coop - Groceries
TXN-002374,CUST-0004,2026-01-24 04:13,230.85,EUR,sports_merchandise,Inter Store Milano,Inter Store Milano - Sports Merchandise
TXN-001136,CUST-0070,18-Dec-2025,421.41,EUR,match_tickets ,StubHub Italia,StubHub Italia - Match Tickets
TXN-001193,CUST-0039,2025-11-01 23:34,297.91,EUR,match_tickets,Viagogo,Viagogo - Match Tickets
TXN-000550,CUST-0030,09/17/2025,26.74,EUR,transport,Uber,Uber - Transport
TXN-000733,CUST-0123,01/18/2026,173.91,EUR,retail,H&M,H&M - Retail
TXN-002257,CUST-0146,14-Aug-2025,175.03,EUR,retail,Feltrinelli,Feltrinelli - Retail
TXN-000941,CUST-0160,01/12/2026,121.81,EUR,sports_bar,Birrificio Lambrate,Birrificio Lambrate - Sports Bar
TXN-002271,CUST-0075,09/28/2025,9.89,EUR,streaming,Paramount+,Paramount+ - Streaming
TXN-002138,CUST-0189,2025-12-30 03:35,94.08,EUR,sports_merchandise,Inter Store Milano,Inter Store Milano - Sports Merchandise
TXN-002084,CUST-0184,09/16/2025,182.38,€,sports_merchandise,Nike Football Store,Nike Football Store - Sports Merchandise
TXN-002074,CUST-0005,09/26/2025,111.41,EUR,entertainment,Escape Room Milano,Escape Room Milano - Entertainment
TXN-002101,CUST-0109,01/09/2026,85.55,EUR,sports_bar,Birrificio Lambrate,Birrificio Lambrate - Sports Bar
TXN-000051,CUST-0004,12-Dec-2025,,EUR,groceries ,Carrefour,Carrefour - Groceries
TXN-001112,CUST-0094,12/22/2025,53.66,EUR,streaming,Sky Sport,Sky Sport - Streaming
TXN-001145,CUST-0151,2025-09-05T12:31:57Z,123.59,EUR,entertainment,Cinema Arcadia,Cinema Arcadia - Entertainment
TXN-001544,CUST-0093,09/22/2025,19.89,EUR,sports_bar,Birrificio Lambrate,Birrificio Lambrate - Sports Bar
TXN-002423,CUST-0057,06-Nov-2025,42.35,EUR,sports_bar,The Red & Black Pub,The Red & Black Pub - Sports Bar
TXN-001194,CUST-0193,2025-11-10 06:17,,EUR,match_tickets,Ticketone,Ticketone - Match Tickets
TXN-001438,CUST-0174,2025-12-01 11:47,50.85,€,sports_bar,Birrificio Lambrate,Birrificio Lambrate - Sports Bar
TXN-002107,CUST-0064,03-Jan-2026,131.47,EUR,retail,Zara,Zara - Retail
TXN-002021,CUST-0020,01/28/2026,203.79,EUR,sports_merchandise,Inter Store Milano,Inter Store Milano - Sports Merchandise
TXN-001894,CUST-0079,08-Sep-2025,371.73,EUR,match_tickets,Ticketone,Ticketone - Match Tickets
TXN-000543,CUST-0142,11/26/2025,15.57,EUR,streaming,Amazon Prime Video,Amazon Prime Video - Streaming
TXN-001719,CUST-0119,2026-01-26T02:58:17Z,94.23,EUR,sports_merchandise,AC Milan Store,AC Milan Store - Sports Merchandise
TXN-001836,CUST-0169,11/17/2025,100.58,EUR,retail,IKEA Milano,IKEA Milano - Retail
TXN-000433,CUST-0187,03-Aug-2025,354.68,EUR,match_tickets,Ticketone,Ticketone - Match Tickets
TXN-000598,CUST-0019,09/08/2025,164.58,EUR,match_tickets,Viagogo,Viagogo - Match Tickets
TXN-001288,CUST-0103,13-Nov-2025,71.38,EUR,match_tickets,StubHub Italia,StubHub Italia - Match Tickets
TXN-001197,CUST-0040,2025-12-27T11:21:59Z,44.88,EUR,dining ,Spontini,Spontini - Dining
TXN-000139,CUST-0058,12/08/2025,-36.23,EUR,transport,Uber,Uber - Transport
TXN-001815,CUST-0161,2025-12-28T00:33:39Z,138.24,EUR,sports_merchandise,Adidas Milan,Adidas Milan - Sports Merchandise
TXN-002299,CUST-0200,15-Oct-2025,83.89,€,match_tickets,Ticketone,Ticketone - Match Tickets
TXN-001173,CUST-0088,2025-08-04 06:57,99.89,EUR,sports_bar,The Red & Black Pub,The Red & Black Pub - Sports Bar
TXN-001301,CUST-0183,2025-10-31 14:51,43.48,EUR,streaming,Amazon Prime Video,Amazon Prime Video - Streaming
TXN-001148,CUST-0085,2025-10-28 03:49,33.51,EUR,streaming,Amazon Prime Video,Amazon Prime Video - Streaming
TXN-001218,CUST-0178,2025-11-27T09:47:06Z,-139.59,EUR,sports_bar,The Red & Black Pub,The Red & Black Pub - Sports Bar
TXN-001049,CUST-0103,2025-09-20 17:55,9.07,EUR,entertainment,Teatro alla Scala,Teatro alla Scala - Entertainment
TXN-001552,CUST-0044,12-Feb-2026,14.06,EUR,streaming,Paramount+,Paramount+ - Streaming
TXN-001630,CUST-0054,11/24/2025,159.38,EUR,sports_bar,Old English Pub,Old English Pub - Sports Bar
TXN-000186,CUST-0137,2025-08-06 13:53,111.25,EUR,sports_bar,The Red & Black Pub,The Red & Black Pub - Sports Bar
TXN-001955,CUST-0106,2026-01-09 04:34,41.37,EUR,streaming,Paramount+,Paramount+ - Streaming
TXN-098814,CUST-0383,2025-12-02 02:56,50.91,EUR,retail,Zara,Orphan txn
TXN-001098,CUST-0017,01/19/2026,261.95,EUR,sports_merchandise,Inter Store Milano,Inter Store Milano - Sports Merchandise
TXN-001794,CUST-0130,08/23/2025,17.66,EUR,groceries,Pam Supermarket,Pam Supermarket - Groceries
TXN-000473,CUST-0146,2025-08-31 16:16,70.07,EUR,match_tickets,Ticketone,Ticketone - Match Tickets
TXN-000528,CUST-0014,2025-11-12T14:21:08Z,32.52,EUR,streaming,Sky Sport,Sky Sport - Streaming
TXN-002214,CUST-0197,2025-09-24 07:09,33.46,EUR,streaming,Paramount+,Paramount+ - Streaming
TXN-001673,CUST-0135,2025-08-03 22:44,37.7,eur,sports_bar,Birrificio Lambrate,Birrificio Lambrate - Sports Bar
TXN-001127,CUST-0112,03-Feb-2026,26.6,EUR,groceries,Pam Supermarket,Pam Supermarket - Groceries
TXN-002172,CUST-0164,2025-11-04 08:49,62.2,€,transport,Enjoy Car Sharing,Enjoy Car Sharing - Transport
TXN-001731,CUST-0079,08/26/2025,40.58,EUR,streaming,Paramount+,Paramount+ - Streaming
TXN-002358,CUST-0055,2026-02-09 12:56,28.2,EUR,sports_merchandise,Nike Football Store,Nike Football Store - Sports Merchandise
TXN-000556,CUST-0065,09/20/2025,126.53,EUR,sports_bar,Birrificio Lambrate,Birrificio Lambrate - Sports Bar
TXN-001281,CUST-0164,02-Jan-2026,8.48,EUR, transport,ATM Milano,ATM Milano - Transport
TXN-001203,CUST-0057,2025-11-17 11:49,231.99,EUR,match_tickets,Viagogo,Viagogo - Match Tickets
TXN-001349,CUST-0008,2026-01-23 08:00,18.37,EUR,streaming,DAZN,DAZN - Streaming
TXN-000878,CUST-0151,10/08/2025,66.43,EUR,dining,Spontini,Spontini - Dining
TXN-001820,CUST-0065,2025-08-04 04:57,36.69,EUR,streaming,Paramount+,Paramount+ - Streaming
